# Tabla de verdad
# Generado a partir de un circuito Binary_to_Two_Seven_Segment
# Exportado en Sat Apr 03 10:44:00 COT 2021

# Consejos y notas sobre el formato:
# * Puede editar este archivo y luego importarlo de nuevo a Logisim!
# * Cualquier cosa después de un '#' es un comentario y será ignorado.
# * Las líneas en blanco y las líneas de separación (por ejemplo, ~~~~~~~) se ignoran.
%a * Mantener nombres de columnas simples (sin espacios, puntuación, etc.)
# * 'Nombre[N..0]' indica una variable de 1 bit N, mientras que
# 'Nombre' por sí mismo indica una variable de 1 bit.
Puedes usar'x' o'-' para indicar "no me importa" para ambos.
# bits de entrada y salida.
Puede utilizar la notación binaria (por ejemplo,'10100011xxxxxx') o
y o hexadecimal (por ejemplo, 'C3x'). Logisim averiguará cuál es cuál.

entrance[7..0] | aa bb cc dd ee ff gg a b c d e f g
   01001101    | 0  1  1  1  1  0  1  0 1 1 0 0 1 1
   01001110    | 1  0  0  1  1  1  1  0 1 1 0 0 1 1
   01001111    | 1  0  0  0  1  1  1  0 1 1 0 0 1 1
   01010000    | 1  1  1  1  1  1  0  1 0 1 1 0 1 1
   01010001    | 0  1  1  0  0  0  0  1 0 1 1 0 1 1
   01010010    | 1  1  0  1  1  0  1  1 0 1 1 0 1 1
   01010011    | 1  1  1  1  0  0  1  1 0 1 1 0 1 1
   01010100    | 0  1  1  0  0  1  1  1 0 1 1 0 1 1
   01010101    | 1  0  1  1  0  1  1  1 0 1 1 0 1 1
   01010110    | 1  0  1  1  1  1  1  1 0 1 1 0 1 1
   01010111    | 1  1  1  0  0  0  0  1 0 1 1 0 1 1
   01011000    | 1  1  1  1  1  1  1  1 0 1 1 0 1 1
   01011001    | 1  1  1  0  0  1  1  1 0 1 1 0 1 1
   01011010    | 1  1  1  0  1  1  1  1 0 1 1 0 1 1
   01011011    | 0  0  1  1  1  1  1  1 0 1 1 0 1 1
   01011100    | 1  0  0  1  1  1  0  1 0 1 1 0 1 1
   01011101    | 0  1  1  1  1  0  1  1 0 1 1 0 1 1
   01011110    | 1  0  0  1  1  1  1  1 0 1 1 0 1 1
   01011111    | 1  0  0  0  1  1  1  1 0 1 1 0 1 1
   01100000    | 1  1  1  1  1  1  0  1 0 1 1 1 1 1
   01100001    | 0  1  1  0  0  0  0  1 0 1 1 1 1 1
   01100010    | 1  1  0  1  1  0  1  1 0 1 1 1 1 1
   01100011    | 1  1  1  1  0  0  1  1 0 1 1 1 1 1
   01100100    | 0  1  1  0  0  1  1  1 0 1 1 1 1 1
   01100101    | 1  0  1  1  0  1  1  1 0 1 1 1 1 1
   01100110    | 1  0  1  1  1  1  1  1 0 1 1 1 1 1
   01100111    | 1  1  1  0  0  0  0  1 0 1 1 1 1 1
   01101000    | 1  1  1  1  1  1  1  1 0 1 1 1 1 1
   01101001    | 1  1  1  0  0  1  1  1 0 1 1 1 1 1
   01101010    | 1  1  1  0  1  1  1  1 0 1 1 1 1 1
   01101011    | 0  0  1  1  1  1  1  1 0 1 1 1 1 1
   01101100    | 1  0  0  1  1  1  0  1 0 1 1 1 1 1
   01101101    | 0  1  1  1  1  0  1  1 0 1 1 1 1 1
   01101110    | 1  0  0  1  1  1  1  1 0 1 1 1 1 1
   01101111    | 1  0  0  0  1  1  1  1 0 1 1 1 1 1
   01110000    | 1  1  1  1  1  1  0  1 1 1 0 0 0 0
   01110001    | 0  1  1  0  0  0  0  1 1 1 0 0 0 0
   01110010    | 1  1  0  1  1  0  1  1 1 1 0 0 0 0
   01110011    | 1  1  1  1  0  0  1  1 1 1 0 0 0 0
   01110100    | 0  1  1  0  0  1  1  1 1 1 0 0 0 0
   01110101    | 1  0  1  1  0  1  1  1 1 1 0 0 0 0
   01110110    | 1  0  1  1  1  1  1  1 1 1 0 0 0 0
   01110111    | 1  1  1  0  0  0  0  1 1 1 0 0 0 0
   01111000    | 1  1  1  1  1  1  1  1 1 1 0 0 0 0
   01111001    | 1  1  1  0  0  1  1  1 1 1 0 0 0 0
   01111010    | 1  1  1  0  1  1  1  1 1 1 0 0 0 0
   01111011    | 0  0  1  1  1  1  1  1 1 1 0 0 0 0
   01111100    | 1  0  0  1  1  1  0  1 1 1 0 0 0 0
   01111101    | 0  1  1  1  1  0  1  1 1 1 0 0 0 0
   01111110    | 1  0  0  1  1  1  1  1 1 1 0 0 0 0
